Nome,Problema,Situação,Longitude,Latitude
Árvores do Campus,Árvore Doente,Ponto aprovado,-47.865609246348356,-15.764737977613802
Árvores do Campus,Galhos Quebrados,Ponto aprovado,-47.86788375959305,-15.768413742224926
Árvores do Campus,Galhos Quebrados,Ponto aprovado,-47.8689356,-15.763862999999997
Árvores do Campus,Árvore Doente,Ponto aprovado,-47.86887973999999,-15.763446250000003
Árvores do Campus,Árvore Tombada,Ponto aprovado,-47.868378580000005,-15.763591439999999
Árvores do Campus,Galhos Quebrados,Ponto aprovado,-47.86833925,-15.763649629999994
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86872721,-15.765181779999999
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86864006,-15.765254969999999
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.8684515,-15.765373209999998
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.868420619999995,-15.765383759999994
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.8681313,-15.765593879999994
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86821008999999,-15.765562600000004
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86825276,-15.765517990000005
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86778381,-15.765815590000004
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86775393,-15.7658716
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86770441,-15.765880110000005
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.867535919999995,-15.766047870000001
Árvores do Campus,Árvore com Necessidade de Poda,Ponto aprovado,-47.86759866,-15.766171150000005
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.868394699999996,-15.765853690000004
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86833011,-15.76589524
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86831771,-15.765988050000002
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86857845,-15.765730840000007
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86888617999999,-15.765333230000001
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86888617999999,-15.765333230000001
Árvores do Campus,Árvore com Necessidade de Poda,Ponto aprovado,-47.86887058999999,-15.765400059999997
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86864615,-15.765487939999998
Árvores do Campus,Árvore com Necessidade de Poda,Ponto aprovado,-47.868618049999995,-15.765487610000001
Árvores do Campus,Árvore com Necessidade de Poda,Ponto aprovado,-47.867974939999996,-15.765922289999999
Árvores do Campus,Árvore com Risco de Tombamento,Ponto aprovado,-47.867847469999994,-15.765996259999993
Árvores do Campus,Árvore com Necessidade de Poda,Ponto aprovado,-47.86756463999999,-15.766208480000005
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86748485999999,-15.766240449999994
Árvores do Campus,Árvore com Necessidade de Poda,Ponto aprovado,-47.86787867,-15.766383270000006
Árvores do Campus,Árvore Doente,Ponto aprovado,-47.86794075,-15.766361539999998
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.868137319999995,-15.766200759999997
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.868174399999994,-15.76617505000001
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86833617,-15.766071989999997
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86841879999999,-15.765997709999999
Árvores do Campus,Árvore com Necessidade de Poda,Ponto aprovado,-47.86866187,-15.765838169999997
Árvores do Campus,Árvore com Necessidade de Poda,Ponto aprovado,-47.86875465999999,-15.765786260000004
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86886681,-15.765707180000001
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.868963969999996,-15.765649870000004
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86920640999999,-15.765510600000006
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86920039999999,-15.765667269999991
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86924539999999,-15.765633060000004
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.868031259999995,-15.76671632999999
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86797111999999,-15.766751540000001
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86811280999999,-15.766672880000002
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86825835999999,-15.766536659999995
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86855158000001,-15.76633173
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86898642,-15.766043130000002
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86910442,-15.765963059999999
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.869201079999996,-15.765891909999995
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86884117,-15.766312419999998
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86839212999999,-15.766592489999994
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86828016,-15.766675889999995
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.8680693,-15.76682914
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86816698,-15.767009140000003
Árvores do Campus,Árvore Doente,Ponto aprovado,-47.8681695,-15.767100029999995
Árvores do Campus,Árvore com Risco de Tombamento,Ponto aprovado,-47.86946265,-15.766261699999992
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.87000589,-15.764921440000007
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.86988344,-15.764760800000003
Árvores do Campus,Galhos Quebrados,Ponto aprovado,-47.869874270000004,-15.764653840000005
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.87100196,-15.764173040000006
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.8703909,-15.76474746
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.87029854,-15.764689860000002
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.870272910000004,-15.764694500000003
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.87017209,-15.764743219999994
Árvores do Campus,Galhos Quebrados,Ponto aprovado,-47.87090208,-15.763000630000004
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.87072361,-15.76246951
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.87072200000001,-15.762342890000003
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.87072157,-15.76228751
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.870758099999996,-15.76226694
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.870783870000004,-15.76220718
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.87081997999999,-15.762148609999999
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.87090524,-15.761863520000007
Árvores do Campus,Raízes Danificando Pavimento,Ponto aprovado,-47.87090907,-15.761764550000004
